ym,clubname,content
202101,용인 수지를 사랑하는 사람들/수지사랑,남편은 인터넷 무제한 요금제로 에스케이티를 이용해야된다며 장기고객 vip 할인받아 5만원 요금 사용하고 있다네요 다른 식구는 알뜰폰 이용하고 있어서 에스케이티온가족 할인적용은
202101,복지 아는게 힘,결합할인장기고객복지할인 등등 아이들 기계값은 애초에 0원이었구요 온가족 통신비 33200원이면 많이 줄였죠 저는 5G 요금제 젤싼거 데이터 5기가 짜리 사용하고
202101,삼성스마트폰-갤럭시폴드3/Z플립3/갤럭시S21/갤럭시워치4/버즈2,명시되어 있거든요 5G요금제 6개월동안 데이터량 봤는데 요금제만큼 다 못쓰고 2개월에 한번씩 나오는 장기고객 데이터쿠폰 도 무료로 줘서 딱히 데이터가 모자라지는 않아요
202101,[스사사] 스마트컨슈머들의 호텔/항공/VIP카드/여행 이야기,8억 - 국내이용 75% 해외이용 25% - 모든 금액 일시불 - 국세 지방세 납부 0원 - 실적반영 결제 100% - 장기고객 우대 (10년) 200점 - 카드론 동의 20점 - 자동이체 12점 - 디지털
202101,"엘지모바일 사용자 카페 - V50,G8,V40,G7,V35,V30,G6,V20,Q9,Q8",LTE 34 &gt; LTE 62 &gt; 데이터 일반 &gt; LTE33 인데 LTE 33 현재 까지 사용중 이네요 LTE 쓰는게 어려워지네요 ;; 통신사는 유플러스+ 입니다 장기고객 입니다
202101,동탄2신도시맘 ♣ 동탄투맘 모여요~ [동투맘] ^^ ♣,기존에 Sk브로드밴드썼는데 이사도가고 계약만기되기도해서ㅠ 고민이에요 ㅠ장기고객 관련해서 별혜택이 없는것같아서요 ㅠ 인공지능도 사용하고 시픈데 혜택 받고
202101,중고나라,위약금 발생없습니다 케이티빼고케이티장기고객으로써 아우 열받네 선택약정은 국가정책인데 한국통신이 전신인 케이티가 저럴수가 있나싶네요
202101,The로우미-개인회생/파산/금지명령/워크아웃/신용회복/압류/추심,속한 고객군이 계속 장기연체군으로 계속 남아있더라구요 그래도 점수가 나쁘지 않아 기업은행 모바일로 마이너스 통장 개설 조건이 되길래 신청하니 한도 천만원으로 개설
202101,"세종맘카페 맘크러쉬,세종3생맘카페,호려울마을,새샘마을,세종시",통신사 본사는 가입을 유도할 때 엄청난 혜택을 줄 것처럼 안내를 하지만 실상 그렇지 않다는 것 아시죠또한 인터넷 약정 기간이 끝난 후에 장기 고객으로 갔을 때 큰 혜택을
202101,주식차트 연구소(주식 실제계좌 공개/수익률대회 고수모임),장기고객님 명단에 올리고 말았습니다 ㅋ 그래도 한참 장기고객하시던 고객님이 머리를 빼꼼 내밀어서 내일 탈출할거 같습니다 ㅋ 오늘도 고생하셨습니다 내일도
202101,시흥 배곧신도시 총연합회,계약기간 끝나서 다른 통신사하려고 있었는데 장기고객 할인이라면서 티비2대 인터넷 와이파이 이렇게 해서 요금이 2만원대로 나오는데 핸폰결합할인이 2만원대로 나와서
202101,부동산 스터디',위약금 발생없습니다 케이티빼고 케이티장기고객으로써 아우 열받네 선택약정은 국가정책인데 한국통신이 전신인 케이티가 저럴수가 있나싶네요
202101,약초명가,정지시켰습니다 장기고객 혜택도 없는데 그냥 뚝 뚝 끈어버립니다 이래저래 요금 미납 으로 끈긴 것 우선 급한 봄맞이 일부터 해 놓아야 돈을 벌것 같아 옮깁니다 약초 재배지에
202101,청주맘블리,장기고객쿠폰 등록하려는데 어제 밤부터 점검중이라고만 하네요 언제까지라는 정보도 안보이고요 혹시 아시는 분 계실까요 지금 인터넷 설치가 안되서 데이터만 써야 하는
202101,삼성스마트폰-갤럭시폴드3/Z플립3/갤럭시S21/갤럭시워치4/버즈2,장기고객 결합약정이용 인터넷+tv+giga wifi home=21780원 납부하고 있고 저는 통신요금 순 모두다올레 28요금제 30800-3300(할인)=28600원 납부하고 있습니다 데이터 750mb
202101,"[최검사] 휴대폰 성지 커뮤니티 갤럭시z플립3, 아이폰13, S22",아니면 장기 고객으로써 받는 혜택이 있을 수도 있을 거고요 또 약정 기한이 남아서 번호이동 시 위약금이 부과되는 상태인데 휴대폰을 바꾸고 싶으신 분들은 기기변경으로
202101,"[최검사] 휴대폰 성지 커뮤니티 갤럭시z플립3, 아이폰13, S22",아니면 장기 고객으로서 받는 혜택이 있을 수도 있을 거고요 또 약정 기한이 끝나지 않았는데 휴대폰을 바꾸고 싶으신 분들이 기기변경으로 알아보시더라구요 확실히 그게
202101,구리 남양주맘 - 다산신도시 왕숙 갈매 별내 진접 호평평내 화도,통신사 본사는 가입을 유도할 때 엄청난 혜택을 줄 것처럼 안내를 하지만 실상 그렇지 않다는 것 아시죠또한 인터넷 약정 기간이 끝난 후에 장기 고객으로 갔을 때 큰 혜택을
202101,"!▷중정공☞ 중국유학생활,중국여행,무역,중국어,북경,상해,홍콩",있구요 고객님 입장에서 장기체류자보험가입을 생각 해 보신다면 반드시 갱신이나 외국에서 신규가입이 가능한 보험사를 선택 하시는게 좋을 듯 하구요 그리고 보상금
202101,"[거사모] 거제도 대표 카페 - 여행,펜션,맛집,낚시,통영,부동산",차종에 대한 전문적인 지식까지는 요구하지 않으며 기본적으로 차종에 대해 이해를 하고 장기렌트를 원하는고객들이기 때문에 장기렌트와 리스의 장점에 대해 이해하기
202101,목포에서 좋은 집 찾기,장기 고객에게 감사 할인 없습니다 인터넷 IPTV 도 신상이 있고 업그레이드해주어야 월 요금이 아깝지 않습니다 타사 신규 가입은 쏠쏠한 용돈벌이가 됩니다 (사은액 46만
202101,용광맘★용인맘 광교맘 수원맘 분당맘 수지맘기흥동백강남맘흥덕,10년 장기고객 총 이득금액 50만원 현금사은품 50만원 (월 이용료 할인으로 계산시 14000원) -현재 10년째 한 통신사를 이용하며 장기이용 고객으로 인터넷 할인 월 3000원
202101,울산 부동산 재테크,현재케이티장기고객인데 이제 유플러스유플러스로 갈까해요 tv2대에 인터넷이구요 지원많이해주시는분 연락주세요
202101,약초명가,통신사는 장기고객 혜택 핸드폰도 무료가 아니라 요금에서 납부되고 있다 나중에 기기값은 남게 되니 꼭 확인해 야 한다 통신사들 거기가 거기지만 현재 사용하고 있는
202101,의정부 맘들의 모임,요즘은 통신사에서 기사님이 본인 핸드폰으로 고객한테 전화해서 불편사항 있는지 체크하나요 생각할 수록 찜찜하네요 우리집 주소도 알던데
202101,리그오브레전드 한국커뮤니티 - LoLKor,결합혜택 불가 결합혜택은 물론 장기고객 서비스도 없음 2 멤버십 혜택이 없거나 적음 대부분 사람들이 잘안씀 아는 사람은 쓰긴 하지만 다 못쓰는 경우가 대부분 3 인식
202101,♡행복한 강릉맘,통신사 본사는 가입을 유도할 때 엄청난 혜택을 줄 것처럼 안내를 하지만 실상 그렇지 않다는 것 아시죠또한 인터넷 약정 기간이 끝난 후에 장기 고객으로 갔을 때 큰 혜택을
202101,주식차트 연구소(주식 실제계좌 공개/수익률대회 고수모임),그래도 2월달전에 장기 고객님들을 좀 정리하려고 마음먹고 있었는데 많이 가벼워져서 다행이라 생각합니다 ㅋ 오늘도 고생하셨습니다 모두 내일도 돈 마니버세요^^
202101,"진주엔 [경남 진주 정보 커뮤니티,동호회,소모임,맛집,부동산]",통신사 본사는 가입을 유도할 때 엄청난 혜택을 줄 것처럼 안내를 하지만 실상 그렇지 않다는 것 아시죠또한 인터넷 약정 기간이 끝난 후에 장기 고객으로 갔을 때 큰 혜택을
202101,펭귄통신-인터넷가입&설치&렌탈 No.1 카페 / 사은품 당일 지급,케이티는 장기고객할인 무선1개 결합해서 38000원정도인데 괜찮은건가욤 유플러스로 가게될경우 무선5대 결합할수있어요 케이티로 재약정할지 신규로 유플러스로 갈지
